z_id,coupling_type,times,lats,lons,winds
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-23T00:00:00Z,32.4,145.0,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-23T06:00:00Z,33.4,145.5,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-23T12:00:00Z,34.5,146.2,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-23T18:00:00Z,36.3,146.9,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-24T00:00:00Z,37.8,147.9,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-24T06:00:00Z,39.5,149.2,23.14998
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-24T12:00:00Z,41.6,150.3,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-24T18:00:00Z,43.1,151.1,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-25T00:00:00Z,44.5,152.5,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-25T06:00:00Z,45.7,153.1,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-25T12:00:00Z,46.1,154.2,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-25T18:00:00Z,46.1,155.0,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-26T00:00:00Z,45.8,156.5,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-26T06:00:00Z,45.5,157.9,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-26T12:00:00Z,45.3,159.0,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-26T18:00:00Z,45.0,159.3,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-27T00:00:00Z,43.8,160.8,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-27T06:00:00Z,43.3,161.1,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-27T12:00:00Z,42.6,161.0,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-27T18:00:00Z,41.9,161.1,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-28T00:00:00Z,41.5,161.1,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-28T06:00:00Z,41.2,161.0,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-28T12:00:00Z,40.7,160.7,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-28T18:00:00Z,40.8,161.7,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-29T00:00:00Z,42.2,162.2,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-29T06:00:00Z,43.6,163.0,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-29T12:00:00Z,44.8,163.4,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-29T18:00:00Z,45.8,163.4,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-30T00:00:00Z,47.1,163.6,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-30T06:00:00Z,48.1,163.8,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-30T12:00:00Z,49.3,163.8,0.0
EQ-2011041611190036341399457959__TC-TY1106,EQ-TY,2011-07-30T18:00:00Z,50.7,164.1,0.0
